Title,Author,Rating,Type
"How It Unfolds (The Far Reaches, #1)",James S.A. Corey,"3.99 avg rating — 11,569 ratings",(Goodreads Author)
We Should All Be Feminists,Chimamanda Ngozi Adichie,"4.40 avg rating — 315,891 ratings","4.40 avg rating — 315,891 ratings"
Blackbird (Hart's Ridge #9),Kay Bratt,"4.59 avg rating — 3,693 ratings",(Goodreads Author)
"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"really liked it 4.00 avg rating — 472,992 ratings","really liked it 4.00 avg rating — 472,992 ratings"
"Beautiful Bastard (Beautiful Bastard, #1)",Christina Lauren,"3.90 avg rating — 217,536 ratings",(Goodreads Author)
The Assassin's Betrayal (Jason Drake #1),Auston King,"4.30 avg rating — 5,076 ratings","4.30 avg rating — 5,076 ratings"
"Swift Judgment (Nate Shepherd, #7)",Michael  Stagg,"4.43 avg rating — 2,921 ratings",(Goodreads Author)
Savage Grounds (Dalton Savage #1),L.T. Ryan,"4.26 avg rating — 7,479 ratings",(Goodreads Author)
"Deep Sleep (Devin Gray, #1)",Steven Konkoly,"4.08 avg rating — 13,172 ratings",(Goodreads Author)
The Last Temptation of Christ,Nikos Kazantzakis,"4.18 avg rating — 15,108 ratings","4.18 avg rating — 15,108 ratings"
The Right Stuff,Tom Wolfe,"4.23 avg rating — 54,411 ratings","4.23 avg rating — 54,411 ratings"
"Opposition (Lux, #5)",Jennifer L. Armentrout,"4.32 avg rating — 88,440 ratings",(Goodreads Author)
Nicholas Nickleby,Charles Dickens,"3.94 avg rating — 45,998 ratings","3.94 avg rating — 45,998 ratings"
Black Hawk Down: A Story of Modern War,Mark Bowden,"4.30 avg rating — 67,379 ratings","4.30 avg rating — 67,379 ratings"
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,"3.65 avg rating — 193,891 ratings","3.65 avg rating — 193,891 ratings"
The Kitchen House,Kathleen Grissom,"4.23 avg rating — 291,674 ratings",(Goodreads Author)
"Open Season (Breed Thriller, #2)",Cameron Curtis,"4.45 avg rating — 3,789 ratings","4.45 avg rating — 3,789 ratings"
"The Snowman (Harry Hole, #7)",Jo Nesbø,"4.02 avg rating — 146,544 ratings",(Goodreads Author)
"The Darkest Night (Lords of the Underworld, #1)",Gena Showalter,"4.05 avg rating — 85,417 ratings",(Goodreads Author)
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,"3.82 avg rating — 113,081 ratings","3.82 avg rating — 113,081 ratings"
Oil and Marble,Stephanie Storey,"4.08 avg rating — 10,996 ratings",(Goodreads Author)
"The Fiery Heart (Bloodlines, #4)",Richelle Mead,"4.34 avg rating — 79,044 ratings",(Goodreads Author)
Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,"4.29 avg rating — 8,540 ratings",(Goodreads Author)
"No Plan B (Jack Reacher, #27)",Lee Child,"3.98 avg rating — 60,289 ratings",(Goodreads Author)
"Origin (Robert Langdon, #5)",Dan    Brown,"3.90 avg rating — 343,293 ratings",(Goodreads Author)
"Heist Society (Heist Society, #1)",Ally Carter,"3.92 avg rating — 94,415 ratings",(Goodreads Author)
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,"3.87 avg rating — 105,851 ratings","3.87 avg rating — 105,851 ratings"
"Lessons In Faking (Hall Beck University, #1)",Selina Mae,"3.84 avg rating — 3,939 ratings",(Goodreads Author)
This Side of Paradise,F. Scott Fitzgerald,"3.64 avg rating — 77,757 ratings","3.64 avg rating — 77,757 ratings"
"Dead in the Family (Sookie Stackhouse, #10)",Charlaine Harris,"3.90 avg rating — 168,041 ratings",(Goodreads Author)
Suttree,Cormac McCarthy,"4.20 avg rating — 26,361 ratings","4.20 avg rating — 26,361 ratings"
The Second Sex,Simone de Beauvoir,"4.18 avg rating — 45,072 ratings","4.18 avg rating — 45,072 ratings"
"Noble House (Asian Saga, #5)",James Clavell,"4.27 avg rating — 41,771 ratings","4.27 avg rating — 41,771 ratings"
"Finale (Caraval, #3)",Stephanie Garber,"4.14 avg rating — 315,309 ratings",(Goodreads Author)
"Rebel Angels (Gemma Doyle, #2)",Libba Bray,"3.95 avg rating — 111,492 ratings",(Goodreads Author)
Catch the Sun,Jennifer Hartmann,"4.29 avg rating — 21,655 ratings",(Goodreads Author)
Warbreaker,Brandon Sanderson,"4.30 avg rating — 249,315 ratings",(Goodreads Author)
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,"4.11 avg rating — 242,047 ratings",(Goodreads Author)
As a Man Thinketh,James Allen,"4.24 avg rating — 92,286 ratings","4.24 avg rating — 92,286 ratings"
"Quicker (Ell Donsaii, #1)",Laurence E. Dahners,"4.31 avg rating — 3,634 ratings",(Goodreads Author)
Shadow's Siege (Shadow Island #15),Mary Stone,"4.61 avg rating — 3,710 ratings",(Goodreads Author)
"Blue Lily, Lily Blue (The Raven Cycle, #3)",Maggie Stiefvater,"4.26 avg rating — 175,064 ratings",(Goodreads Author)
"Skyward (Skyward, #1)",Brandon Sanderson,"4.47 avg rating — 157,220 ratings",(Goodreads Author)
Book of a Thousand Days,Shannon Hale,"3.97 avg rating — 55,660 ratings",(Goodreads Author)
"The King's Men (All for the Game, #3)",Nora Sakavic,"4.58 avg rating — 73,262 ratings",(Goodreads Author)
The Maid's Diary,Loreth Anne White,"4.22 avg rating — 101,684 ratings",(Goodreads Author)
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"3.95 avg rating — 107,628 ratings","3.95 avg rating — 107,628 ratings"
"Binding 13 (Boys of Tommen, #1)",Chloe Walsh,"4.44 avg rating — 352,920 ratings",(Goodreads Author)
"Wither (The Chemical Garden, #1)",Lauren DeStefano,"3.80 avg rating — 100,599 ratings",(Goodreads Author)
More Than This,Patrick Ness,"3.94 avg rating — 68,820 ratings","3.94 avg rating — 68,820 ratings"
"Magic Strikes (Kate Daniels, #3)",Ilona Andrews,"4.43 avg rating — 89,335 ratings",(Goodreads Author)
The Last Run (Peter Black #6),David Archer,"4.35 avg rating — 2,050 ratings","4.35 avg rating — 2,050 ratings"
The Alignment Problem: Machine Learning and Human Values,Brian  Christian,"4.36 avg rating — 4,276 ratings",(Goodreads Author)
"Feast of Fools (The Morganville Vampires, #4)",Rachel Caine,"4.15 avg rating — 54,586 ratings","4.15 avg rating — 54,586 ratings"
"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"4.12 avg rating — 178,941 ratings",(Goodreads Author)
Second Son (Second Son Chronicles #1),Pamela   Taylor,"4.27 avg rating — 1,569 ratings",(Goodreads Author)
"The Vampire Armand (The Vampire Chronicles, #6)",Anne Rice,"3.80 avg rating — 72,494 ratings","3.80 avg rating — 72,494 ratings"
The End of Eternity,Isaac Asimov,"4.24 avg rating — 60,023 ratings","4.24 avg rating — 60,023 ratings"
The Last Guardian (Clayton White #3),Simon Gervais,"4.38 avg rating — 3,210 ratings",(Goodreads Author)
Suite Française,Irène Némirovsky,"3.86 avg rating — 76,550 ratings","3.86 avg rating — 76,550 ratings"
"The Daughter of Time (Inspector Alan Grant, #5)",Josephine Tey,"3.90 avg rating — 36,550 ratings","3.90 avg rating — 36,550 ratings"
The Rum Diary,Hunter S. Thompson,"3.85 avg rating — 64,102 ratings","3.85 avg rating — 64,102 ratings"
"Wool Omnibus (Silo, #1)",Hugh Howey,"4.20 avg rating — 357,187 ratings",(Goodreads Author)
What Happened,Hillary Rodham Clinton,"3.92 avg rating — 60,426 ratings","3.92 avg rating — 60,426 ratings"
"National Security (Jericho Quinn, #1)",Marc Cameron,"4.13 avg rating — 8,905 ratings",(Goodreads Author)
Solitaire,Alice Oseman,"3.92 avg rating — 135,292 ratings",(Goodreads Author)
"Exile (Keeper of the Lost Cities, #2)",Shannon Messenger,"4.47 avg rating — 65,405 ratings",(Goodreads Author)
Percy Jackson's Greek Gods,Rick Riordan,"4.43 avg rating — 93,993 ratings",(Goodreads Author)
"Leviathan (Leviathan, #1)",Scott Westerfeld,"3.92 avg rating — 93,813 ratings",(Goodreads Author)
The Cases Nobody Wanted (O'Shaughnessy Investigations Inc. Mystery Series Book 1),A.G. Russo,"4.36 avg rating — 2,148 ratings","4.36 avg rating — 2,148 ratings"
Long Day’s Journey into Night,Eugene O'Neill,"4.05 avg rating — 42,130 ratings","4.05 avg rating — 42,130 ratings"
The Sense of an Ending,Julian Barnes,"3.74 avg rating — 186,692 ratings","3.74 avg rating — 186,692 ratings"
"Her Name Is Knight (Nena Knight, #1)",Yasmin Angoe,"4.32 avg rating — 13,091 ratings",(Goodreads Author)
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,"3.60 avg rating — 86,789 ratings",(Goodreads Author)
Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"really liked it 4.00 avg rating — 26,395 ratings","really liked it 4.00 avg rating — 26,395 ratings"
"Good Night, Mr. Tom",Michelle Magorian,"4.31 avg rating — 51,712 ratings","4.31 avg rating — 51,712 ratings"
"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"4.28 avg rating — 110,075 ratings",(Goodreads Author)
Tigana,Guy Gavriel Kay,"4.08 avg rating — 50,483 ratings",(Goodreads Author)
"Firelight (Firelight, #1)",Sophie Jordan,"3.84 avg rating — 69,823 ratings",(Goodreads Author)
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao  Wang,4.27 avg rating — 142 ratings,4.27 avg rating — 142 ratings
"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,"4.04 avg rating — 152,973 ratings",(Goodreads Author)
Life for Life (Talion #3),J.K. Franko,"4.37 avg rating — 1,389 ratings",(Goodreads Author)
"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,"3.85 avg rating — 90,827 ratings",(Goodreads Author)
Child of Another Kind,Steven Decker,"4.28 avg rating — 6,136 ratings",(Goodreads Author)
The Illuminatus! Trilogy,Robert Shea,"4.01 avg rating — 15,975 ratings","4.01 avg rating — 15,975 ratings"
Infinite,Brian Freeman,"4.04 avg rating — 12,706 ratings",(Goodreads Author)
Fun Home: A Family Tragicomic,Alison Bechdel,"4.08 avg rating — 193,992 ratings","4.08 avg rating — 193,992 ratings"
Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"4.12 avg rating — 269,603 ratings","4.12 avg rating — 269,603 ratings"
"Oath of Loyalty (Mitch Rapp, #21)",Kyle Mills,"4.48 avg rating — 22,944 ratings",(Goodreads Author)
Sliding on the Snow Stone,Andy Szpuk,"3.71 avg rating — 1,217 ratings",(Goodreads Author)
"The Physician (Cole Family Trilogy, #1)",Noah Gordon,"4.41 avg rating — 57,641 ratings","4.41 avg rating — 57,641 ratings"
"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",Max Solomon Bennett,"4.45 avg rating — 2,789 ratings","4.45 avg rating — 2,789 ratings"
"Stargazer (Evernight, #2)",Claudia Gray,"3.79 avg rating — 57,197 ratings",(Goodreads Author)
My Life Next Door,Huntley Fitzpatrick,"3.97 avg rating — 154,562 ratings","3.97 avg rating — 154,562 ratings"
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"3.95 avg rating — 265,515 ratings","3.95 avg rating — 265,515 ratings"
The Coworker,Freida McFadden,"3.76 avg rating — 448,845 ratings",(Goodreads Author)
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,"3.93 avg rating — 171,498 ratings",(Goodreads Author)
Animal Dreams,Barbara Kingsolver,"4.08 avg rating — 75,725 ratings","4.08 avg rating — 75,725 ratings"
"Ascend (Trylle, #3)",Amanda Hocking,"4.07 avg rating — 65,931 ratings",(Goodreads Author)
Night Owl (Trasker #1),Andrew Mayne,"4.17 avg rating — 13,969 ratings",(Goodreads Author)
"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"4.38 avg rating — 80,379 ratings",(Goodreads Author)
Burning Evidence: A Legal Thriller filled with Gripping Courtroom Drama (Small Town Lawyer Book 4),Peter Kirkland,"4.31 avg rating — 1,492 ratings",(Goodreads Author)
Let the Great World Spin,Colum McCann,"3.95 avg rating — 107,854 ratings",(Goodreads Author)
Sputnik Sweetheart,Haruki Murakami,"3.83 avg rating — 172,337 ratings","3.83 avg rating — 172,337 ratings"
Tier One (Tier One #1),Brian  Andrews,"4.14 avg rating — 14,841 ratings",(Goodreads Author)
A Day of Reckoning (A Time for Swords 3),Matthew Harffy,4.35 avg rating — 882 ratings,(Goodreads Author)
The Locked Door,Freida McFadden,"really liked it 4.00 avg rating — 490,954 ratings",(Goodreads Author)
The Testament,John Grisham,"3.91 avg rating — 123,519 ratings",(Goodreads Author)
The Scopas Factor,Vincent Panettiere,4.34 avg rating — 544 ratings,(Goodreads Author)
"Messenger (The Giver, #3)",Lois Lowry,"3.92 avg rating — 144,240 ratings",(Goodreads Author)
Drowning,T.J. Newman,"4.15 avg rating — 52,171 ratings",(Goodreads Author)
"Ringworld (Ringworld, #1)",Larry Niven,"3.94 avg rating — 126,163 ratings","3.94 avg rating — 126,163 ratings"
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,"4.16 avg rating — 118,431 ratings","4.16 avg rating — 118,431 ratings"
"A Psalm for the Wild-Built (Monk & Robot, #1)",Becky  Chambers,"4.24 avg rating — 156,286 ratings",(Goodreads Author)
Atlas Shrugged & The Fountainhead,Ayn Rand,"4.10 avg rating — 4,951 ratings","4.10 avg rating — 4,951 ratings"
Diary,Chuck Palahniuk,"3.65 avg rating — 80,075 ratings",(Goodreads Author)
"Never Fade (The Darkest Minds, #2)",Alexandra Bracken,"4.20 avg rating — 103,144 ratings",(Goodreads Author)
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"4.04 avg rating — 438,905 ratings","4.04 avg rating — 438,905 ratings"
Tell the Wolves I'm Home,Carol Rifka Brunt,"4.03 avg rating — 147,106 ratings",(Goodreads Author)
"La Vérité sur l'Affaire Harry Quebert (Marcus Goldman, #1)",Joël Dicker,"4.20 avg rating — 209,584 ratings","4.20 avg rating — 209,584 ratings"
"King's Cage (Red Queen, #3)",Victoria Aveyard,"3.89 avg rating — 281,344 ratings",(Goodreads Author)
Murder in the Family,Cara Hunter,"3.73 avg rating — 45,972 ratings",(Goodreads Author)
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,"4.33 avg rating — 520,169 ratings",(Goodreads Author)
"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons,"4.28 avg rating — 45,823 ratings","4.28 avg rating — 45,823 ratings"
The Husband's Secret,Liane Moriarty,"3.95 avg rating — 706,176 ratings",(Goodreads Author)
Chasing the Red Queen,Karen Glista,4.20 avg rating — 949 ratings,4.20 avg rating — 949 ratings
"Carpe Corpus (The Morganville Vampires, #6)",Rachel Caine,"4.20 avg rating — 49,679 ratings","4.20 avg rating — 49,679 ratings"
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,"3.73 avg rating — 1,843,240 ratings",(Goodreads Author)
Dislocated (Mad Mick #10),Franklin Horton,"4.62 avg rating — 1,207 ratings","4.62 avg rating — 1,207 ratings"
"Hild (The Hild Sequence, #1)",Nicola Griffith,"3.84 avg rating — 12,360 ratings",(Goodreads Author)
"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,"4.25 avg rating — 102,652 ratings",(Goodreads Author)
"The Half King (The Half King, #1)",Melissa Landers,"3.68 avg rating — 6,242 ratings",(Goodreads Author)
"Everblaze (Keeper of the Lost Cities, #3)",Shannon Messenger,"4.48 avg rating — 56,431 ratings",(Goodreads Author)
The Harry Potter Wizarding Almanac: The Official Magical Companion to J.K. Rowling's Harry Potter Books,J.K. Rowling,"4.27 avg rating — 9,161 ratings","4.27 avg rating — 9,161 ratings"
"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"4.01 avg rating — 262,312 ratings","4.01 avg rating — 262,312 ratings"
"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,"3.89 avg rating — 107,196 ratings","3.89 avg rating — 107,196 ratings"
"Weapons Grade (Jack Ryan Jr, #17; Jack Ryan Universe, #36)",Don Bentley,"4.33 avg rating — 6,430 ratings",(Goodreads Author)
"A Team of One (Unsanctioned Asset, #1)",Brad Lee,"4.56 avg rating — 4,663 ratings","4.56 avg rating — 4,663 ratings"
The Deserter (Scott Brodie & Maggie Taylor #1),Nelson DeMille,"4.08 avg rating — 17,931 ratings","4.08 avg rating — 17,931 ratings"
Deep Utopia: Life and Meaning in a Solved World,Nick Bostrom,3.75 avg rating — 627 ratings,(Goodreads Author)
Five Survive,Holly  Jackson,"4.08 avg rating — 222,689 ratings",(Goodreads Author)
"Beg For Mercy (Mercy, #3)",Lucian Bane,4.24 avg rating — 776 ratings,(Goodreads Author)
"Eyes of the Void (The Final Architecture, #2)",Adrian Tchaikovsky,"4.20 avg rating — 17,520 ratings",(Goodreads Author)
Confessions,Augustine of Hippo,"3.98 avg rating — 69,741 ratings","3.98 avg rating — 69,741 ratings"
Brotherhood of the Goat (Alex Mason #10),David Archer,"4.43 avg rating — 2,821 ratings","4.43 avg rating — 2,821 ratings"
Being and Time,Martin Heidegger,"4.05 avg rating — 26,640 ratings","4.05 avg rating — 26,640 ratings"
"Fractal Noise (Fractalverse, #0)",Christopher Paolini,"3.44 avg rating — 13,178 ratings",(Goodreads Author)
Chasing the Dragon: BY NEW BLOOD DAGGER AND SCOTTISH CRIME DEBUT SHORTLISTED AUTHOR (Betancourt Mystery Series Book 2),Mark Wightman,4.27 avg rating — 633 ratings,4.27 avg rating — 633 ratings
"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,"4.31 avg rating — 5,379 ratings","4.31 avg rating — 5,379 ratings"
"A Time for Swords (A Time for Swords, #1)",Matthew Harffy,"4.33 avg rating — 2,626 ratings",(Goodreads Author)
Eva Luna,Isabel Allende,"really liked it 4.00 avg rating — 56,650 ratings",(Goodreads Author)
Hard Times,Charles Dickens,"3.55 avg rating — 71,125 ratings","3.55 avg rating — 71,125 ratings"
Franz Kafka's The Castle,David Fishelson,"4.10 avg rating — 28,471 ratings",(Adapter)
"The Sweet Far Thing (Gemma Doyle, #3)",Libba Bray,"3.97 avg rating — 72,758 ratings",(Goodreads Author)
"Requiem (Delirium, #3)",Lauren Oliver,"3.73 avg rating — 152,728 ratings",(Goodreads Author)
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"3.99 avg rating — 414,426 ratings","3.99 avg rating — 414,426 ratings"
The Year of Magical Thinking,Joan Didion,"3.93 avg rating — 277,928 ratings","3.93 avg rating — 277,928 ratings"
"Some Girls Bite (Chicagoland Vampires, #1)",Chloe Neill,"3.98 avg rating — 65,310 ratings",(Goodreads Author)
"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,"3.84 avg rating — 88,758 ratings","3.84 avg rating — 88,758 ratings"
Homo Deus: A History of Tomorrow,Yuval Noah Harari,"4.19 avg rating — 274,229 ratings","4.19 avg rating — 274,229 ratings"
A Modest Proposal and Other Satirical Works,Jonathan Swift,"4.05 avg rating — 14,575 ratings","4.05 avg rating — 14,575 ratings"
"Maybe Someday (Maybe, #1)",Colleen Hoover,"3.98 avg rating — 621,572 ratings",(Goodreads Author)
Identical,Ellen Hopkins,"4.29 avg rating — 65,844 ratings",(Goodreads Author)
"Morning Star (Red Rising Saga, #3)",Pierce Brown,"4.53 avg rating — 301,905 ratings",(Goodreads Author)
"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,"4.21 avg rating — 94,542 ratings",(Goodreads Author)
The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"4.70 avg rating — 23,791 ratings","4.70 avg rating — 23,791 ratings"
"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,"4.40 avg rating — 154,460 ratings",(Goodreads Author)
"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,"4.28 avg rating — 88,776 ratings",(Goodreads Author)
Before I Die,Jenny Downham,"3.81 avg rating — 57,341 ratings","3.81 avg rating — 57,341 ratings"
Arrangement in Black and White,Fred Misurella,4.35 avg rating — 610 ratings,(Goodreads Author)
Defending Jacob,William Landay,"really liked it 4.00 avg rating — 306,938 ratings",(Goodreads Author)
Infidel,Ayaan Hirsi Ali,"4.20 avg rating — 91,587 ratings","4.20 avg rating — 91,587 ratings"
"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,"4.38 avg rating — 111,117 ratings","4.38 avg rating — 111,117 ratings"
Homegoing,Yaa Gyasi,"4.47 avg rating — 377,662 ratings",(Goodreads Author)
"Nothing Better Than You (Better than the Movies, #1.6)",Lynn Painter,"4.49 avg rating — 6,688 ratings",(Goodreads Author)
Lisey's Story,Stephen        King,"3.70 avg rating — 91,724 ratings",(Goodreads Author)
A Compromising Position,Diane Merrill Wigginton,"4.42 avg rating — 1,055 ratings",(Goodreads Author)
"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,"3.95 avg rating — 112,984 ratings",(Goodreads Author)
"The Sleeper (Lance Spector, #4)",Saul Herzog,"4.50 avg rating — 5,888 ratings",(Goodreads Author)
Mindset: The New Psychology of Success,Carol S. Dweck,"4.10 avg rating — 166,682 ratings","4.10 avg rating — 166,682 ratings"
Prey,Michael Crichton,"3.79 avg rating — 182,532 ratings","3.79 avg rating — 182,532 ratings"
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,"4.07 avg rating — 129,847 ratings",(Goodreads Author)
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"4.36 avg rating — 1,492,916 ratings",(Goodreads Author)
The Wife in the Photo,Emily Shiner,"3.69 avg rating — 5,510 ratings",(Goodreads Author)
"Thud! (Discworld, #34; City Watch, #7)",Terry Pratchett,"4.35 avg rating — 76,956 ratings","4.35 avg rating — 76,956 ratings"
The Rainmaker,John Grisham,"4.01 avg rating — 202,754 ratings",(Goodreads Author)
"Men Are from Mars, Women Are from Venus",John  Gray,"3.58 avg rating — 195,994 ratings","3.58 avg rating — 195,994 ratings"
Scary Smart: The Future of Artificial Intelligence and How You Can Save Our World,Mo Gawdat,"3.82 avg rating — 2,875 ratings","3.82 avg rating — 2,875 ratings"
"Nevernight (The Nevernight Chronicle, #1)",Jay Kristoff,"4.22 avg rating — 108,017 ratings",(Goodreads Author)
From Lukov with Love,Mariana Zapata,"4.20 avg rating — 273,629 ratings",(Goodreads Author)
"Rise of the Evening Star (Fablehaven, #2)",Brandon Mull,"4.18 avg rating — 131,765 ratings",(Goodreads Author)
Code Red (Mitch Rapp #22),Kyle Mills,"4.41 avg rating — 18,906 ratings",(Goodreads Author)
The Viola Factor,Sheridan  Brown,4.37 avg rating — 855 ratings,(Goodreads Author)
Galápagos,Kurt Vonnegut Jr.,"3.87 avg rating — 85,770 ratings","3.87 avg rating — 85,770 ratings"
"The Bridge on the Drina (Bosnian Trilogy, #1)",Ivo Andrić,"4.33 avg rating — 23,724 ratings","4.33 avg rating — 23,724 ratings"
Heart of a Dog,Mikhail Bulgakov,"4.09 avg rating — 66,693 ratings","4.09 avg rating — 66,693 ratings"
The Ancient Code (The Ancient Secrets #1),T.S. Falk,"4.27 avg rating — 3,323 ratings",(Goodreads Author)
"Slave to Sensation (Psy-Changeling, #1)",Nalini Singh,"4.09 avg rating — 77,153 ratings",(Goodreads Author)
I've Got Your Number,Sophie Kinsella,"3.94 avg rating — 234,990 ratings",(Goodreads Author)
"False Flag (Jason Trapp, #2)",Jack     Slater,"4.53 avg rating — 11,780 ratings",(Goodreads Author)
The True Confessions of Charlotte Doyle,Avi,"3.86 avg rating — 87,263 ratings","3.86 avg rating — 87,263 ratings"
"Along Came a Spider (Alex Cross, #1)",James  Patterson,"4.13 avg rating — 477,148 ratings",(Goodreads Author)
Wives and Daughters,Elizabeth Gaskell,"4.13 avg rating — 49,740 ratings","4.13 avg rating — 49,740 ratings"
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,"3.86 avg rating — 81,960 ratings",(Goodreads Author)
The Selected Writings of Edgar Allan Poe,Edgar Allan Poe,"4.30 avg rating — 1,595 ratings","4.30 avg rating — 1,595 ratings"
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"3.83 avg rating — 167,820 ratings",(Goodreads Author)
"Shadowland (The Immortals, #3)",Alyson Noel,"3.66 avg rating — 85,580 ratings",(Goodreads Author)
Get Rich or Get Lucky,Max Nowaz,"4.25 avg rating — 12,499 ratings",(Goodreads Author)
"Kiss of Midnight (Midnight Breed,  #1)",Lara Adrian,"3.92 avg rating — 66,203 ratings",(Goodreads Author)
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,"3.94 avg rating — 224,793 ratings",(Goodreads Author)
"Haroun and the Sea of Stories (Khalifa Brothers, #1)",Salman Rushdie,"3.98 avg rating — 36,800 ratings","3.98 avg rating — 36,800 ratings"
"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",Art Spiegelman,"4.42 avg rating — 154,375 ratings","4.42 avg rating — 154,375 ratings"
"The Call of the Wild, White Fang and Other Stories",Jack London,"4.05 avg rating — 22,640 ratings","4.05 avg rating — 22,640 ratings"
I Remember You,Brian Freeman,"4.07 avg rating — 3,818 ratings",(Goodreads Author)
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"4.15 avg rating — 373,033 ratings","4.15 avg rating — 373,033 ratings"
The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,4.34 avg rating — 225 ratings,(Goodreads Author)
The Twits,Roald Dahl,"3.97 avg rating — 150,130 ratings","3.97 avg rating — 150,130 ratings"
"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",J.K. Rowling,"4.69 avg rating — 68,413 ratings","4.69 avg rating — 68,413 ratings"
"Just One Day (Just One Day, #1)",Gayle Forman,"3.98 avg rating — 86,069 ratings",(Goodreads Author)
"Gaudy Night (Lord Peter Wimsey, #12)",Dorothy L. Sayers,"4.20 avg rating — 30,945 ratings","4.20 avg rating — 30,945 ratings"
Down and Rising,Rohith S. Katbamna,4.70 avg rating — 233 ratings,(Goodreads Author)
"The Cat in the Hat Comes Back (The Cat in the Hat, #2)",Dr. Seuss,"3.91 avg rating — 32,051 ratings","3.91 avg rating — 32,051 ratings"
Black Boy,Richard Wright,"4.09 avg rating — 55,005 ratings","4.09 avg rating — 55,005 ratings"
The Lords of Discipline,Pat Conroy,"4.34 avg rating — 29,376 ratings","4.34 avg rating — 29,376 ratings"
"The House at Pooh Corner (Winnie-the-Pooh, #2)",A.A. Milne,"4.38 avg rating — 89,000 ratings","4.38 avg rating — 89,000 ratings"
Horton Hears a Who!,Dr. Seuss,"4.21 avg rating — 112,242 ratings","4.21 avg rating — 112,242 ratings"
1776,David McCullough,"4.10 avg rating — 240,804 ratings","4.10 avg rating — 240,804 ratings"
"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,"4.19 avg rating — 44,920 ratings","4.19 avg rating — 44,920 ratings"
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"3.86 avg rating — 20,057 ratings",(Goodreads Author)
"Sunday Morning (Sunday Morning, #1)",Jewel E. Ann,"4.22 avg rating — 9,620 ratings",(Goodreads Author)
Buddenbrooks: The Decline of a Family,Thomas Mann,"4.19 avg rating — 33,374 ratings","4.19 avg rating — 33,374 ratings"
"Second Foundation (Foundation, #3)",Isaac Asimov,"4.27 avg rating — 195,414 ratings","4.27 avg rating — 195,414 ratings"
"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"4.37 avg rating — 172,094 ratings",(Goodreads Author)
