Title,Author,Rating,Type
"The Lunatic Cafe (Anita Blake, Vampire Hunter, #4)",Laurell K. Hamilton,"4.13 avg rating — 80,688 ratings",(Goodreads Author)
Love Letters to the Dead,Ava Dellaira,"3.79 avg rating — 90,775 ratings",(Goodreads Author)
"Seven Up (Stephanie Plum, #7)",Janet Evanovich,"4.15 avg rating — 130,661 ratings",(Goodreads Author)
The Chamber,John Grisham,"3.85 avg rating — 144,137 ratings",(Goodreads Author)
Modern Romance,Aziz Ansari,"3.80 avg rating — 188,885 ratings","3.80 avg rating — 188,885 ratings"
"The Secret of the Nagas (Shiva Trilogy, #2)",Amish Tripathi,"4.10 avg rating — 92,405 ratings",(Goodreads Author)
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,791,938 ratings",(Goodreads Author)
"The Son (The Emperor, the Son and the Thief, #2)",Robert         Reid,4.43 avg rating — 249 ratings,(Goodreads Author)
Stepbrother Dearest,Penelope Ward,"4.03 avg rating — 73,069 ratings",(Goodreads Author)
"Unlocked (Keeper of the Lost Cities, #8.5)",Shannon Messenger,"4.24 avg rating — 27,863 ratings",(Goodreads Author)
Business Model Generation,Alexander Osterwalder,"4.21 avg rating — 57,879 ratings",(Goodreads Author)
The Nickel Boys,Colson Whitehead,"4.26 avg rating — 280,948 ratings",(Goodreads Author)
If You Could See the Sun,Ann Liang,"really liked it 4.00 avg rating — 48,859 ratings",(Goodreads Author)
The Case for Christ,Lee Strobel,"4.23 avg rating — 145,623 ratings","4.23 avg rating — 145,623 ratings"
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,"4.20 avg rating — 73,291 ratings","4.20 avg rating — 73,291 ratings"
"After You (Me Before You, #2)",Jojo Moyes,"3.74 avg rating — 404,402 ratings",(Goodreads Author)
Betty,Tiffany   McDaniel,"4.41 avg rating — 48,520 ratings",(Goodreads Author)
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,"4.07 avg rating — 94,582 ratings",(Goodreads Author)
ESV Study Bible,Anonymous,"4.74 avg rating — 15,999 ratings","4.74 avg rating — 15,999 ratings"
The Coldest Winter: America and the Korean War,David Halberstam,"4.22 avg rating — 9,113 ratings","4.22 avg rating — 9,113 ratings"
"The Kings of Clonmel (Ranger's Apprentice, #8)",John Flanagan,"4.30 avg rating — 62,459 ratings","4.30 avg rating — 62,459 ratings"
Waking the Tiger: Healing Trauma,Peter A. Levine,"4.07 avg rating — 9,422 ratings","4.07 avg rating — 9,422 ratings"
"The Brothers Hawthorne (The Inheritance Games, #4)",Jennifer Lynn Barnes,"3.91 avg rating — 133,158 ratings",(Goodreads Author)
Inherit the Wind: The Powerful Courtroom Drama in which Two Men Wage the Legal War of the Century,Jerome Lawrence,"3.93 avg rating — 23,839 ratings","3.93 avg rating — 23,839 ratings"
Playing to Win: How Strategy Really Works,A.G. Lafley,"3.99 avg rating — 8,443 ratings","3.99 avg rating — 8,443 ratings"
Die Physiker,Friedrich Dürrenmatt,"3.89 avg rating — 40,138 ratings","3.89 avg rating — 40,138 ratings"
"The Crimson Crown (Seven Realms, #4)",Cinda Williams Chima,"4.46 avg rating — 45,927 ratings",(Goodreads Author)
Death and the Dervish,Meša Selimović,"4.51 avg rating — 10,584 ratings","4.51 avg rating — 10,584 ratings"
The Golden Bowl,Henry James,"3.77 avg rating — 11,665 ratings","3.77 avg rating — 11,665 ratings"
"Dirty Red (Love Me with Lies, #2)",Tarryn Fisher,"4.19 avg rating — 34,583 ratings",(Goodreads Author)
"Snow Like Ashes (Snow Like Ashes, #1)",Sara Raasch,"3.88 avg rating — 68,942 ratings",(Goodreads Author)
Timbi's Dream,Max Nowaz,4.36 avg rating — 590 ratings,(Goodreads Author)
Measure What Matters,John Doerr,"3.98 avg rating — 35,707 ratings","3.98 avg rating — 35,707 ratings"
"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"4.10 avg rating — 90,840 ratings",(Goodreads Author)
Eye for Eye (Talion #1),J.K. Franko,"4.26 avg rating — 4,061 ratings",(Goodreads Author)
"Edenbrooke (Edenbrooke, #1)",Julianne Donaldson,"4.33 avg rating — 58,977 ratings",(Goodreads Author)
"Shanghai Girls (Shanghai Girls, #1)",Lisa See,"3.92 avg rating — 159,641 ratings",(Goodreads Author)
4 3 2 1,Paul Auster,"3.97 avg rating — 35,068 ratings","3.97 avg rating — 35,068 ratings"
Heaven,Mieko Kawakami,"3.79 avg rating — 75,866 ratings","3.79 avg rating — 75,866 ratings"
What Happened to Goodbye,Sarah Dessen,"3.94 avg rating — 89,990 ratings",(Goodreads Author)
Ordinary Grace,William Kent Krueger,"4.27 avg rating — 178,209 ratings",(Goodreads Author)
"The Kind Worth Killing (Henry Kimball/Lily Kintner, #1)",Peter  Swanson,"3.98 avg rating — 224,179 ratings",(Goodreads Author)
A Painted House,John Grisham,"3.77 avg rating — 99,387 ratings",(Goodreads Author)
"Rumo & His Miraculous Adventures (Zamonia, #3)",Walter Moers,"4.52 avg rating — 12,760 ratings","4.52 avg rating — 12,760 ratings"
The Girl in the Garden,Melanie Wallace,"3.44 avg rating — 1,388 ratings","3.44 avg rating — 1,388 ratings"
"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott,"4.02 avg rating — 38,817 ratings","4.02 avg rating — 38,817 ratings"
